,service_id,trip_id,direction,route_id
237,y1003,13340.y1003.60-120-d12-1.62.O,1,120
238,y1003,13341.y1003.60-120-d12-1.63.I,2,120
239,y1003,13342.y1003.60-120-d12-1.62.O,1,120
240,y1003,13343.y1003.60-120-d12-1.63.I,2,120
241,y1003,13344.y1003.60-120-d12-1.62.O,1,120
242,y1003,13345.y1003.60-120-d12-1.63.I,2,120
243,y1003,13346.y1003.60-120-d12-1.62.O,1,120
244,y1003,13347.y1003.60-120-d12-1.63.I,2,120
245,y1003,13348.y1003.60-120-d12-1.62.O,1,120
246,y1003,13349.y1003.60-120-d12-1.63.I,2,120
247,y1003,13350.y1003.60-120-d12-1.62.O,1,120
248,y1003,13351.y1003.60-120-d12-1.63.I,2,120
249,y1003,13352.y1003.60-120-d12-1.62.O,1,120
250,y1003,13353.y1003.60-120-d12-1.63.I,2,120
251,y1003,13354.y1003.60-120-d12-1.62.O,1,120
252,y1003,13355.y1003.60-120-d12-1.63.I,2,120
253,y1003,13356.y1003.60-120-d12-1.63.I,2,120
254,y1003,13357.y1003.60-120-d12-1.62.O,1,120
255,y1003,13358.y1003.60-120-d12-1.63.I,2,120
256,y1003,13359.y1003.60-120-d12-1.62.O,1,120
257,y1003,13360.y1003.60-120-d12-1.63.I,2,120
258,y1003,13361.y1003.60-120-d12-1.62.O,1,120
259,y1003,13362.y1003.60-120-d12-1.63.I,2,120
260,y1003,13363.y1003.60-120-d12-1.62.O,1,120
261,y1003,13364.y1003.60-120-d12-1.63.I,2,120
262,y1003,13365.y1003.60-120-d12-1.62.O,1,120
263,y1003,13366.y1003.60-120-d12-1.63.I,2,120
264,y1003,13367.y1003.60-120-d12-1.62.O,1,120
265,y1003,13368.y1003.60-120-d12-1.63.I,2,120
266,y1003,13369.y1003.60-120-d12-1.62.O,1,120
267,y1003,13370.y1003.60-120-d12-1.63.I,2,120
268,y1003,13371.y1003.60-120-d12-1.62.O,1,120
269,y1002,1680.y1002.60-120-d12-1.60.O,1,120
270,y1002,1681.y1002.60-120-d12-1.63.I,2,120
271,y1002,1682.y1002.60-120-d12-1.62.O,1,120
272,y1002,1683.y1002.60-120-d12-1.63.I,2,120
273,y1002,1684.y1002.60-120-d12-1.62.O,1,120
274,y1002,1685.y1002.60-120-d12-1.63.I,2,120
275,y1002,1686.y1002.60-120-d12-1.62.O,1,120
276,y1002,1687.y1002.60-120-d12-1.63.I,2,120
277,y1002,1688.y1002.60-120-d12-1.62.O,1,120
278,y1002,1689.y1002.60-120-d12-1.63.I,2,120
279,y1002,2278.y1002.60-120-d12-1.63.I,2,120
280,y1002,2279.y1002.60-120-d12-1.62.O,1,120
281,y1002,2280.y1002.60-120-d12-1.61.I,2,120
282,y1002,2281.y1002.60-120-d12-1.63.I,2,120
283,y1002,2282.y1002.60-120-d12-1.62.O,1,120
284,y1002,2283.y1002.60-120-d12-1.61.I,2,120
285,y1002,2284.y1002.60-120-d12-1.62.O,1,120
286,y1002,2285.y1002.60-120-d12-1.63.I,2,120
287,y1002,2286.y1002.60-120-d12-1.62.O,1,120
288,y1002,2287.y1002.60-120-d12-1.63.I,2,120
289,y1002,2288.y1002.60-120-d12-1.62.O,1,120
290,y1002,2289.y1002.60-120-d12-1.63.I,2,120
291,y1002,2290.y1002.60-120-d12-1.62.O,1,120
292,y1002,2291.y1002.60-120-d12-1.63.I,2,120
293,y1002,2292.y1002.60-120-d12-1.62.O,1,120
294,y1002,2293.y1002.60-120-d12-1.63.I,2,120
295,y1002,2294.y1002.60-120-d12-1.62.O,1,120
296,y1002,2295.y1002.60-120-d12-1.63.I,2,120
297,y1002,2296.y1002.60-120-d12-1.62.O,1,120
298,y1002,2297.y1002.60-120-d12-1.63.I,2,120
299,y1002,2298.y1002.60-120-d12-1.62.O,1,120
300,y1002,2299.y1002.60-120-d12-1.63.I,2,120
301,y1002,2300.y1002.60-120-d12-1.62.O,1,120
302,y1002,2301.y1002.60-120-d12-1.63.I,2,120
303,y1002,2302.y1002.60-120-d12-1.62.O,1,120
304,y1002,2303.y1002.60-120-d12-1.63.I,2,120
305,y1002,2304.y1002.60-120-d12-1.62.O,1,120
306,y1002,2305.y1002.60-120-d12-1.63.I,2,120
307,y1002,2306.y1002.60-120-d12-1.62.O,1,120
308,y1002,2307.y1002.60-120-d12-1.63.I,2,120
309,y1002,2308.y1002.60-120-d12-1.62.O,1,120
310,y1002,2309.y1002.60-120-d12-1.62.O,1,120
311,y1002,2310.y1002.60-120-d12-1.63.I,2,120
312,y1002,2311.y1002.60-120-d12-1.62.O,1,120
313,y1002,2312.y1002.60-120-d12-1.63.I,2,120
314,y1002,2313.y1002.60-120-d12-1.62.O,1,120
315,y1002,2314.y1002.60-120-d12-1.63.I,2,120
316,y1002,2315.y1002.60-120-d12-1.62.O,1,120
317,y1002,2316.y1002.60-120-d12-1.63.I,2,120
318,y1002,2317.y1002.60-120-d12-1.62.O,1,120
319,y1002,2318.y1002.60-120-d12-1.63.I,2,120
320,y1002,2319.y1002.60-120-d12-1.62.O,1,120
321,y1002,2320.y1002.60-120-d12-1.63.I,2,120
322,y1002,2321.y1002.60-120-d12-1.62.O,1,120
323,y1002,2322.y1002.60-120-d12-1.63.I,2,120
324,y1002,2323.y1002.60-120-d12-1.62.O,1,120
325,y1002,2324.y1002.60-120-d12-1.63.I,2,120
326,y1002,2325.y1002.60-120-d12-1.62.O,1,120
327,y1002,2326.y1002.60-120-d12-1.62.O,1,120
328,y1002,2327.y1002.60-120-d12-1.61.I,2,120
329,y1002,2328.y1002.60-120-d12-1.63.I,2,120
330,y1002,2329.y1002.60-120-d12-1.62.O,1,120
331,y1002,2330.y1002.60-120-d12-1.63.I,2,120
332,y1002,2331.y1002.60-120-d12-1.62.O,1,120
333,y1002,2332.y1002.60-120-d12-1.63.I,2,120
334,y1002,2333.y1002.60-120-d12-1.62.O,1,120
335,y1002,2334.y1002.60-120-d12-1.63.I,2,120
336,y1002,2335.y1002.60-120-d12-1.62.O,1,120
337,y1002,2336.y1002.60-120-d12-1.63.I,2,120
338,y1002,2337.y1002.60-120-d12-1.62.O,1,120
339,y1002,2338.y1002.60-120-d12-1.63.I,2,120
340,y1002,2339.y1002.60-120-d12-1.60.O,1,120
341,y1002,2340.y1002.60-120-d12-1.63.I,2,120
342,y1002,2341.y1002.60-120-d12-1.62.O,1,120
343,y1002,2342.y1002.60-120-d12-1.63.I,2,120
344,y1002,2343.y1002.60-120-d12-1.62.O,1,120
345,y1002,2344.y1002.60-120-d12-1.63.I,2,120
346,y1002,2345.y1002.60-120-d12-1.62.O,1,120
347,y1002,2346.y1002.60-120-d12-1.63.I,2,120
348,y1002,2347.y1002.60-120-d12-1.62.O,1,120
349,y1002,2348.y1002.60-120-d12-1.63.I,2,120
350,y1002,2349.y1002.60-120-d12-1.62.O,1,120
351,y1002,2350.y1002.60-120-d12-1.63.I,2,120
352,y1002,2351.y1002.60-120-d12-1.60.O,1,120
353,y1001,8610.y1001.60-120-d12-1.63.I,2,120
354,y1001,8611.y1001.60-120-d12-1.62.O,1,120
355,y1001,8612.y1001.60-120-d12-1.63.I,2,120
356,y1001,8613.y1001.60-120-d12-1.62.O,1,120
357,y1001,8614.y1001.60-120-d12-1.63.I,2,120
358,y1001,8615.y1001.60-120-d12-1.62.O,1,120
359,y1001,8616.y1001.60-120-d12-1.63.I,2,120
360,y1001,8617.y1001.60-120-d12-1.63.I,2,120
361,y1001,8618.y1001.60-120-d12-1.62.O,1,120
362,y1001,8619.y1001.60-120-d12-1.63.I,2,120
363,y1001,8620.y1001.60-120-d12-1.62.O,1,120
364,y1001,8621.y1001.60-120-d12-1.63.I,2,120
365,y1001,8622.y1001.60-120-d12-1.62.O,1,120
366,y1001,8623.y1001.60-120-d12-1.63.I,2,120
367,y1001,8624.y1001.60-120-d12-1.62.O,1,120
368,y1001,8625.y1001.60-120-d12-1.63.I,2,120
369,y1001,8626.y1001.60-120-d12-1.62.O,1,120
370,y1001,8627.y1001.60-120-d12-1.63.I,2,120
371,y1001,8628.y1001.60-120-d12-1.62.O,1,120
372,y1001,8629.y1001.60-120-d12-1.63.I,2,120
373,y1001,8630.y1001.60-120-d12-1.62.O,1,120
374,y1001,8631.y1001.60-120-d12-1.63.I,2,120
375,y1001,8632.y1001.60-120-d12-1.62.O,1,120
376,y1001,8633.y1001.60-120-d12-1.63.I,2,120
377,y1001,8634.y1001.60-120-d12-1.62.O,1,120
378,y1001,8635.y1001.60-120-d12-1.63.I,2,120
379,y1001,8636.y1001.60-120-d12-1.62.O,1,120
380,y1001,8637.y1001.60-120-d12-1.63.I,2,120
381,y1001,8638.y1001.60-120-d12-1.62.O,1,120
382,y1001,8639.y1001.60-120-d12-1.63.I,2,120
383,y1001,8640.y1001.60-120-d12-1.62.O,1,120
384,y1001,8641.y1001.60-120-d12-1.63.I,2,120
385,y1001,8642.y1001.60-120-d12-1.62.O,1,120
386,y1001,8643.y1001.60-120-d12-1.63.I,2,120
387,y1001,8644.y1001.60-120-d12-1.62.O,1,120
388,y1001,8645.y1001.60-120-d12-1.63.I,2,120
389,y1001,8646.y1001.60-120-d12-1.62.O,1,120
390,y1001,8647.y1001.60-120-d12-1.63.I,2,120
391,y1001,8648.y1001.60-120-d12-1.62.O,1,120
392,y1001,8649.y1001.60-120-d12-1.63.I,2,120
393,y1001,8650.y1001.60-120-d12-1.62.O,1,120
394,y1001,8651.y1001.60-120-d12-1.63.I,2,120
395,y1001,8652.y1001.60-120-d12-1.62.O,1,120
396,y1001,8653.y1001.60-120-d12-1.63.I,2,120
397,y1001,8654.y1001.60-120-d12-1.62.O,1,120
398,y1001,8655.y1001.60-120-d12-1.63.I,2,120
399,y1001,8656.y1001.60-120-d12-1.62.O,1,120
400,y1001,8657.y1001.60-120-d12-1.63.I,2,120
401,y1001,8658.y1001.60-120-d12-1.62.O,1,120
402,y1001,8659.y1001.60-120-d12-1.63.I,2,120
403,y1001,8660.y1001.60-120-d12-1.62.O,1,120
404,y1001,8661.y1001.60-120-d12-1.63.I,2,120
405,y1001,8662.y1001.60-120-d12-1.62.O,1,120
406,y1001,8663.y1001.60-120-d12-1.63.I,2,120
407,y1001,8664.y1001.60-120-d12-1.62.O,1,120
408,y1001,8665.y1001.60-120-d12-1.63.I,2,120
409,y1001,8666.y1001.60-120-d12-1.62.O,1,120
410,y1001,8682.y1001.60-120-d12-1.62.O,1,120
411,y1001,8683.y1001.60-120-d12-1.63.I,2,120
412,y1001,8684.y1001.60-120-d12-1.62.O,1,120
413,y1001,8685.y1001.60-120-d12-1.63.I,2,120
414,y1001,8686.y1001.60-120-d12-1.62.O,1,120
415,y1001,8687.y1001.60-120-d12-1.63.I,2,120
416,y1001,8688.y1001.60-120-d12-1.62.O,1,120
417,y1001,8689.y1001.60-120-d12-1.63.I,2,120
