,line_id,route_id,direction,stoppoint_id,progr_number
349,11,40,1,3022,51
350,11,40,1,4779,57
351,11,40,1,4847,59
352,11,40,1,4848,60
353,11,40,1,6122,1
354,11,40,1,7057,58
355,11,40,1,7603,12
356,11,42,2,10,45
357,11,42,2,12,46
358,11,42,2,14,47
359,11,42,2,15,48
360,11,42,2,17,49
361,11,42,2,18,50
362,11,42,2,19,51
363,11,42,2,21,52
364,11,42,2,22,54
365,11,42,2,23,55
366,11,42,2,24,56
367,11,42,2,25,57
368,11,42,2,27,58
369,11,42,2,28,59
370,11,42,2,29,60
371,11,42,2,31,62
372,11,42,2,32,63
373,11,42,2,33,64
374,11,42,2,278,43
375,11,42,2,320,42
376,11,42,2,401,41
377,11,42,2,447,5
378,11,42,2,449,1
379,11,42,2,450,2
380,11,42,2,451,4
381,11,42,2,453,8
382,11,42,2,454,9
383,11,42,2,786,38
384,11,42,2,793,39
385,11,42,2,875,20
386,11,42,2,876,21
387,11,42,2,878,22
388,11,42,2,879,23
389,11,42,2,880,24
390,11,42,2,881,25
391,11,42,2,882,26
392,11,42,2,883,27
393,11,42,2,884,28
394,11,42,2,885,29
395,11,42,2,886,30
396,11,42,2,887,31
397,11,42,2,903,32
398,11,42,2,904,33
399,11,42,2,906,34
400,11,42,2,907,35
401,11,42,2,908,36
402,11,42,2,909,37
403,11,42,2,3023,11
404,11,42,2,3024,12
405,11,42,2,3025,13
406,11,42,2,3026,14
407,11,42,2,3027,15
408,11,42,2,3028,16
409,11,42,2,3029,17
410,11,42,2,3030,18
411,11,42,2,3031,19
412,11,42,2,3181,3
413,11,42,2,4460,7
414,11,42,2,4475,10
415,11,42,2,4680,61
416,11,42,2,5045,6
417,11,42,2,6122,66
418,11,42,2,7220,65
419,11,42,2,7576,40
420,11,42,2,7602,53
421,11,42,2,7615,44
422,111,7,1,2031,27
423,111,7,1,2032,28
424,111,7,1,2033,29
425,111,7,1,2034,30
426,111,7,1,2035,31
427,111,7,1,2036,32
428,111,7,1,2037,34
429,111,7,1,2039,33
430,111,7,1,3046,35
431,111,7,1,3047,36
432,111,7,1,3048,37
433,111,7,1,3049,38
434,111,7,1,3050,39
435,111,7,1,3051,40
436,111,7,1,3052,41
437,111,7,1,3053,42
438,111,7,1,3054,43
439,111,7,1,3055,44
440,111,7,1,3056,45
441,111,7,1,3057,46
442,111,7,1,3134,4
443,111,7,1,3143,5
444,111,7,1,3144,6
445,111,7,1,3221,7
446,111,7,1,3222,8
447,111,7,1,3223,9
448,111,7,1,3224,10
449,111,7,1,3225,11
450,111,7,1,3226,12
451,111,7,1,3227,13
452,111,7,1,3228,14
453,111,7,1,3229,15
454,111,7,1,3230,17
455,111,7,1,3232,18
456,111,7,1,3233,19
457,111,7,1,3234,20
458,111,7,1,3235,22
459,111,7,1,3236,23
460,111,7,1,3237,24
461,111,7,1,4462,21
462,111,7,1,5047,3
463,111,7,1,6103,25
464,111,7,1,7472,16
465,111,7,1,7554,26
466,111,7,1,7639,1
467,111,7,1,7640,2
468,111,8,2,2042,17
469,111,8,2,2043,18
470,111,8,2,2044,19
471,111,8,2,2045,20
472,111,8,2,2046,21
473,111,8,2,3057,1
474,111,8,2,3058,2
475,111,8,2,3059,3
476,111,8,2,3060,4
477,111,8,2,3061,5
478,111,8,2,3062,6
479,111,8,2,3063,7
480,111,8,2,3064,8
481,111,8,2,3065,9
482,111,8,2,3066,10
483,111,8,2,3067,11
484,111,8,2,3068,12
485,111,8,2,3069,13
486,111,8,2,3070,14
487,111,8,2,3134,44
488,111,8,2,3143,45
489,111,8,2,3144,46
490,111,8,2,3205,24
491,111,8,2,3206,25
492,111,8,2,3207,26
493,111,8,2,3208,27
494,111,8,2,3209,28
495,111,8,2,3210,29
496,111,8,2,3211,31
497,111,8,2,3212,32
498,111,8,2,3213,33
499,111,8,2,3214,34
500,111,8,2,3215,35
501,111,8,2,3216,36
502,111,8,2,3217,37
503,111,8,2,3218,38
504,111,8,2,3219,39
505,111,8,2,3220,40
506,111,8,2,3221,41
507,111,8,2,3222,42
508,111,8,2,3223,43
509,111,8,2,4981,30
510,111,8,2,4983,15
511,111,8,2,5046,47
512,111,8,2,6082,23
513,111,8,2,7553,22
514,111,8,2,7639,48
515,111,8,2,7647,16
516,114,5,1,449,10
517,114,5,1,450,11
518,114,5,1,3085,28
520,114,5,1,3181,12
521,114,5,1,3184,9
522,114,5,1,3187,14
524,114,5,1,3188,15
526,114,5,1,3189,16
528,114,5,1,3190,17
530,114,5,1,3191,18
532,114,5,1,3192,19
534,114,5,1,3193,20
536,114,5,1,3194,21
538,114,5,1,3195,22
