,stop_id,name,lat,lon
128,176,Old Finglas Road,53.378032041975786,-6.279298606078041
129,177,Ballygall Rd East,53.3804683765696,-6.276224035153789
130,178,Fitzmaurice Road,53.381890263171606,-6.27634698261821
131,179,Ballygall Rd East,53.3803034312785,-6.27600521980129
132,181,Cremore Avenue,53.3771498433788,-6.274223706861871
133,182,Met Eireann,53.375656766824505,-6.2698050597086
134,183,Botanic Gardens,53.3723159291239,-6.268753184860341
135,184,Botanic Road,53.369703681984994,-6.268979354499249
136,185,St Teresa's Place,53.3681009359885,-6.27002113927779
137,186,Lindsay Grove,53.3653553426373,-6.27158997755113
138,187,Phibsborough Road,53.3627342523627,-6.2724473653382695
139,188,North Circular Road,53.3601206877577,-6.272583149150058
140,189,Fire Station,53.3571674394906,-6.27346881555335
141,190,Broadstone,53.355125730416795,-6.2733710740057
142,191,Western Way,53.355017948577796,-6.26903378050287
143,192,Mountjoy Street,53.3563972112382,-6.2680764696391
144,193,Finglas Park,53.391196305981,-6.2941040348739
145,194,Western Way,53.35504064955421,-6.2699793110377
146,195,Broadstone,53.355011777879,-6.27357097973092
147,196,Fire Station,53.356883899293,-6.27375070406949
148,197,Monck Place,53.35895263161429,-6.273231373511679
149,198,Phibsborough SC,53.361625382881,-6.272837810416559
150,199,Munster Street,53.3636218115005,-6.272291246225151
151,200,Prospect Way,53.3674226926335,-6.271596443937969
152,201,Botanic Road,53.3682910986623,-6.270118626910759
153,202,Fairfield Road,53.3700800875522,-6.26890397753371
154,203,Whitehall College,53.3763927937161,-6.25001002810668
155,204,Highfield Hospital,53.3795883575696,-6.246662192737559
156,205,Iveragh Road,53.38137532693979,-6.2453260469946805
157,206,Collins Avenue West,53.3835460890355,-6.24747670792423
158,207,Larkhill Road,53.38482163073879,-6.24987478276797
159,208,Glendun Road,53.386653930318396,-6.24795040815751
160,209,Larkhill Road,53.3872711105316,-6.24591044728037
161,210,Crestfield Road,53.387594081275395,-6.24831772849051
162,211,Collins Avenue,53.3842808561657,-6.24916033059412
163,212,Whitehall,53.3831956351303,-6.24625839753317
164,213,Iveragh Road,53.38144954402601,-6.24487202356891
165,214,Highfield Hospital,53.3794084835756,-6.24665455182551
166,215,Collins Avenue,53.3818722870075,-6.242449429229442
167,216,Beaumont Road,53.3823308174863,-6.2381913196933185
168,217,Grace Park Court,53.3843236218457,-6.23680112220441
169,218,Shantalla Road,53.3859238989727,-6.233788324110839
170,220,Swords Road,53.387940539658096,-6.24498084117378
171,233,Beaumont Road,53.3858213105816,-6.23353699415897
172,234,Beaumont Grove,53.3849504827269,-6.23482084271798
173,235,Collinswood,53.383296613184605,-6.237249456510531
174,236,Yellow Road,53.382024743098405,-6.2381588600378
175,237,Collins Avenue,53.3820319328845,-6.2435251997587
176,242,Coolgreena Road,53.385654898569896,-6.23201042764994
177,243,Lady of Mercy,53.385780060841704,-6.2295396745469285
178,244,Skelly's Lane,53.3849982136881,-6.22349851566411
179,245,Whitethorn Crescent,53.3844722444229,-6.219566606046059
180,246,Artane Castle,53.3851504766498,-6.216230877169889
181,247,Ardlea Road,53.386976161061796,-6.21450075590271
182,248,Maryfield Drive,53.3855645601755,-6.21446963135779
183,249,Artane Castle,53.3849335491817,-6.216149744963889
184,250,Skelly's Lane,53.384419449981394,-6.220245316101298
185,251,Elmount Crescent,53.3848322787477,-6.223219786333059
186,252,Lady of Mercy,53.3855680158399,-6.22796991791535
187,253,Beaumont Hospital,53.389945950738706,-6.224390046853991
188,254,Beaumont Hospital,53.3902652984461,-6.22410611366832
189,255,Coolgreena Road,53.3855938804217,-6.23153187241737
190,261,Parnell Square East,53.3540562845357,-6.262853361222218
191,262,Parnell Square East,53.35394696104179,-6.26275264892104
192,263,Parnell Square East,53.353745623497105,-6.26250545398005
193,264,Parnell Square East,53.3535353026736,-6.26225862681687
194,265,Parnell Square East,53.3533615685169,-6.262055380704559
195,270,O'Connell St Upper,53.35062339153321,-6.260424291634281
196,271,O'Connell St Lower,53.3485963625842,-6.25948541997207
197,272,O'Connell St Upper,53.3514644798942,-6.260780605732889
198,273,O'Connell Bridge,53.3472474159548,-6.25881940153953
199,274,O'Connell St Upper,53.350349083824604,-6.2607208686217
200,276,River Road,53.3774022009268,-6.33179658312853
201,277,O'Connell St Upper,53.3508223258205,-6.26050631978687
202,278,O'Connell St Upper,53.3515608719055,-6.2612273356431185
203,279,O'Connell St Upper,53.350131746411705,-6.26060954701661
204,281,O'Connell St Upper,53.3513435349612,-6.26111600843156
205,284,Rathbourne Avenue,53.377282623932,-6.32838928381525
206,286,Cathal Brugha Street,53.352170843741,-6.25991061099432
207,288,Irish Life,53.349168812324,-6.25560170347432
208,289,Abbey St Lower,53.3490351823495,-6.2562981234193815
209,291,Abbey St Lower,53.34895040030521,-6.25664706494075
210,292,Abbey St Lower,53.349199694764,-6.255254959387058
211,293,Abbey St Lower,53.3488581695556,-6.25710145511171
212,297,Eden Quay,53.3481432679383,-6.256770126017081
213,298,Eden Quay,53.3482006633767,-6.25639226781078
214,299,Eden Quay,53.348241847448215,-6.256135235663309
215,300,Liberty Hall,53.348299240860996,-6.255757375774619
216,301,Eden Quay,53.3479883676024,-6.25662624092321
217,302,Eden Quay,53.3480380961838,-6.25633882037526
218,303,Eden Quay,53.34805999809301,-6.25599245267002
219,307,O'Donovan Road,53.3345770894681,-6.28008746416517
220,308,Oscar Square,53.336771188956796,-6.279533656924031
221,309,Ardee Street,53.3378498917986,-6.2789195881599005
222,312,Wellington Quay,53.3454764728287,-6.26620615548425
223,313,Bachelors Walk,53.3469069007469,-6.26197249771067
224,315,Bachelors Walk,53.3470973047636,-6.2614690836473
225,317,Westmoreland Street,53.346525944452104,-6.259269366244769
226,318,Westmoreland Street,53.346417713119294,-6.25924373595412
227,319,Westmoreland Street,53.3462744267355,-6.25927961394872
228,320,Westmoreland Street,53.3456456323913,-6.25930523253443
229,322,Gulliver's Retail Pk,53.404254992466896,-6.265350845321809
230,325,Aston Quay,53.3466970502557,-6.25990825953705
231,326,Aston Quay,53.3465535364808,-6.260544947224551
232,328,Aston Quay,53.34634998364321,-6.2613793338963095
233,329,Aston Quay,53.346318864463704,-6.2617110397058
234,333,D'Olier Street,53.346692236593285,-6.25834636399192
235,334,D'Olier Street,53.346581156207506,-6.25812559112211
236,335,D'Olier Street,53.3463614054442,-6.25784917048533
237,336,D'Olier Street,53.3462516394318,-6.25771846673942
238,340,Townsend Street,53.3460128066393,-6.25613609916839
239,342,College Street,53.3455641183199,-6.256800260758129
240,345,Pearse St Garda Stn,53.3454758154714,-6.25629319407125
241,346,Pearse St Garda Stn,53.3455443981674,-6.2566809076365
242,350,Prince's St South,53.345631941584216,-6.24976824959419
243,351,Erne Street,53.3434182647933,-6.24530817378356
244,352,Pearse Square,53.342989145805596,-6.242412139989848
245,353,Grand Canal Quay,53.3426158463834,-6.23964903171018
246,354,Ringsend Road,53.34223582802,-6.23643568982665
247,355,Ringsend Garage,53.341817347783795,-6.233058790692941
248,356,Ringsend,53.3419030234443,-6.22671744313459
249,357,Irishtown Road,53.3391710439696,-6.22312147489852
250,371,Irishtown Road,53.338612780739496,-6.223054582534161
251,372,Star of the Sea,53.33548814695271,-6.219655671448951
252,373,Farney Park,53.3342753312741,-6.217889272596482
253,374,Sandymount,53.3332284399034,-6.216401342119171
254,375,Dromard Terrace,53.3340611346546,-6.21438451306244
255,376,Lea Road,53.3307125262278,-6.20925426461614
256,377,Gilford Road,53.328728929233506,-6.208841895340671
257,378,Sandymount Tower,53.3256502919051,-6.2073344720141606
258,380,St John's Road,53.3247260855166,-6.20923477230433
259,381,St John's Church,53.3243237661094,-6.21237419337661
260,382,St John's Road,53.3250628541644,-6.20771940485297
261,383,Gilford Road,53.3286049757757,-6.20896719963214
262,384,Lea Road,53.331633952394895,-6.2101616048599
263,385,Newgrove Avenue,53.332351023120786,-6.211227687939969
264,387,Sandymount,53.332499510202105,-6.21574105767743
265,388,Farney Park,53.3345088619679,-6.218480172552072
266,389,Star of the Sea,53.335290081799,-6.21963388936857
267,390,Tritonville Road,53.337629913787296,-6.2222394793376505
268,391,Bath Street,53.340063855474995,-6.223925351833191
269,392,Ringsend,53.34173363116921,-6.22741532105916
270,393,Tritonville Road,53.33690388771971,-6.222374796852571
271,395,Ringsend Road,53.34194005356781,-6.23527645441628
272,396,Grand Canal Quay,53.3424615903765,-6.239550255947878
273,397,Pearse Square,53.342785555443,-6.242015007307558
274,398,Erne Street,53.343294935038394,-6.24547844686784
275,399,Pearse Station,53.34386682210871,-6.248308601432201
276,400,Shaw Street,53.344846483913,-6.25320984701663
277,404,Nassau Street,53.34266333251289,-6.256347892394249
278,405,Nassau Street,53.342481689184,-6.2556043726642505
279,406,Nassau Street,53.3426061451661,-6.2561249457825605
280,407,Custom House,53.3483795866704,-6.253876505995059
281,408,Merrion Sq North,53.340970782626286,-6.250019239576369
282,409,Holles Street,53.3401367313194,-6.247695595569709
283,410,Mount Street Lower,53.33881345086601,-6.24389039032323
284,411,Mount Street Bridge,53.338117119223696,-6.24177155350135
285,412,Haddington Road,53.3352555102392,-6.237279319056151
286,413,Lansdowne Park,53.3340941933076,-6.2365463940514685
287,414,Lansdowne Road,53.3315738058974,-6.23447321695269
288,415,American Embassy,53.3303378154095,-6.23294774966432
